rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/clip_fraction,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/entropy_loss,train/explained_variance,train/value_loss
256.2068965517241,8192,-12.120835304260254,15,1,524,,,,,,,,,,
286.5925925925926,16384,-13.20109748840332,38,2,425,0.077099609375,0.009741877,10,0.03557834029197693,-0.0038314881927362875,0.2,0.0003,-1.3788882515393197,-0.050855159759521484,0.02854772794435121
289.9268292682927,24576,-13.197138786315918,60,3,403,0.086865234375,0.010157636,20,0.03119507245719433,-0.00438014714864039,0.2,0.0003,-1.3599143842235208,0.19116222858428955,0.039995011138307744
296.36,32768,-12.802323341369629,83,4,391,0.13052978515625,0.010787577,30,0.06624625623226166,-0.007826007048061,0.2,0.0003,-1.340459888521582,0.44037050008773804,0.06258248309313785
292.48,40960,-11.730325698852539,106,5,383,0.15362548828125,0.011056526,40,0.0032420530915260315,-0.006683485336543527,0.2,0.0003,-1.2964800029993058,0.7628185153007507,0.05458184019371402
293.86,49152,-10.561043739318848,129,6,378,0.16246337890625,0.013486832,50,0.04113484546542168,-0.007818498712822475,0.2,0.0003,-1.2176858143880964,0.8602011203765869,0.05520427600276889
290.07,57344,-9.445634841918945,151,7,377,0.12159423828125,0.009203901,60,0.018296994268894196,-0.005783769711160858,0.2,0.0003,-1.1030609413981438,0.892846941947937,0.04956117735928274
290.54,65536,-8.765780448913574,175,8,373,0.09261474609375,0.0074570226,70,0.006039198487997055,-0.0038337554713507417,0.2,0.0003,-1.0384945154190064,0.8896845579147339,0.06048953187855659
309.14,73728,-8.64565658569336,196,9,374,0.11300048828125,0.00883251,80,0.002206122037023306,-0.00471435874742383,0.2,0.0003,-0.9615059880539775,0.8626834154129028,0.053490972943836826
318.18,81920,-8.822464942932129,220,10,371,0.08724365234375,0.0074225874,90,0.043288178741931915,-0.0034395084283460166,0.2,0.0003,-0.8579028280451894,0.8604826331138611,0.04259431892423891
318.49,90112,-8.614060401916504,242,11,371,0.043896484375,0.0044159973,100,0.02851547673344612,-0.0018039631639112485,0.2,0.0003,-0.867337477626279,0.8074498176574707,0.06757253807663802
322.14,98304,-8.760534286499023,265,12,370,0.0419189453125,0.005299502,110,0.033674389123916626,-0.00294216327729373,0.2,0.0003,-0.8123647375963629,0.7768503427505493,0.07434387520879682
319.92,106496,-8.776263236999512,286,13,371,0.076611328125,0.009122132,120,0.042484842240810394,-0.0024612421248093597,0.2,0.0003,-0.9001623608637601,0.7555004358291626,0.08296413399366429
330.44,114688,-8.926172256469727,309,14,370,0.03382568359375,0.0036433225,130,0.03185305744409561,-0.0008199791722290683,0.2,0.0003,-0.6719510513357818,0.8044449687004089,0.05684746739025286
327.22,122880,-8.82481575012207,331,15,371,0.03084716796875,0.0031397734,140,0.035073716193437576,-0.0010784940965095301,0.2,0.0003,-0.6677841463126242,0.8076513409614563,0.053183443623493074
338.56,131072,-8.967860221862793,352,16,372,0.0440185546875,0.0042979633,150,-0.006036926992237568,-0.0023712820581749837,0.2,0.0003,-0.6403691344894469,0.7041003108024597,0.08889708750721184
324.56,139264,-8.48401165008545,375,17,371,0.03074951171875,0.0031822869,160,0.019560083746910095,-0.0010472089579707244,0.2,0.0003,-0.6012142778607086,0.7380284667015076,0.061847013339138356
321.07,147456,-8.363780975341797,396,18,372,0.03902587890625,0.0036811302,170,0.011881295591592789,-0.0015693437767367868,0.2,0.0003,-0.5603902273112908,0.6800531148910522,0.07830920024644002
314.74,155648,-8.310579299926758,418,19,371,0.042041015625,0.0033254325,180,0.008256735280156136,-0.0017222174737980822,0.2,0.0003,-0.6204820204991848,0.7350172996520996,0.06834905869400246
318.82,163840,-8.400016784667969,440,20,371,0.05286865234375,0.0042494917,190,0.011413868516683578,-0.0013161960159777664,0.2,0.0003,-0.5676694263936952,0.6981586217880249,0.08610658093894016
319.34,172032,-8.51253890991211,461,21,372,0.02825927734375,0.0025063888,200,0.026282688602805138,-0.001382844231920899,0.2,0.0003,-0.4899961306480691,0.7725397944450378,0.05643233807968499
322.68,180224,-8.567602157592773,484,22,371,0.03365478515625,0.0033054606,210,0.034264326095581055,-0.0013428147953163717,0.2,0.0003,-0.5628556156065315,0.7245924472808838,0.06879687785040005
319.08,188416,-8.594267845153809,506,23,372,0.05462646484375,0.004856446,220,0.03254082426428795,-0.0014942911549951532,0.2,0.0003,-0.5259069217601791,0.6867218017578125,0.05361449031152006
318.74,196608,-8.550901412963867,529,24,371,0.041162109375,0.0031900532,230,0.05344444885849953,-0.00282708483055103,0.2,0.0003,-0.4060225649969652,0.6172240376472473,0.09606927147688112
327.05,204800,-8.69836139678955,550,25,372,0.03587646484375,0.0032117125,240,0.069294273853302,-0.001496302057785215,0.2,0.0003,-0.35792361551430074,0.735938310623169,0.07200499180544284
330.78,212992,-8.496620178222656,572,26,371,0.03475341796875,0.0032921406,250,0.07087302207946777,-0.0007823289864063554,0.2,0.0003,-0.4006588198011741,0.70918869972229,0.05729136439913418
338.64,221184,-8.635973930358887,594,27,372,0.02825927734375,0.003327031,260,0.006226933561265469,-0.0011260904730079346,0.2,0.0003,-0.27422334948787463,0.8293894529342651,0.041414283805170274
337.35,229376,-8.6875581741333,616,28,372,0.01773681640625,0.0016366203,270,0.04774872586131096,-0.0001808099600566493,0.2,0.0003,-0.2664923399453983,0.7257647514343262,0.056241538249014414
354.69,237568,-9.054094314575195,638,29,371,0.0296630859375,0.0021373238,280,0.004831056110560894,-0.0016089085776911816,0.2,0.0003,-0.2704987856326625,0.659050464630127,0.0723236886326049
341.57,245760,-8.867330551147461,660,30,372,0.02423095703125,0.0019103709,290,-0.0038985218852758408,-0.00017416268146916992,0.2,0.0003,-0.3142759624868631,0.8215086460113525,0.05636485821669339
335.87,253952,-8.575860977172852,683,31,371,0.03377685546875,0.005282831,300,0.00975712575018406,-0.0018335458234105318,0.2,0.0003,-0.2882615153794177,0.7678453922271729,0.07032696135538571
344.95,262144,-8.93556022644043,704,32,372,0.03084716796875,0.005784178,310,0.03130478039383888,-0.0020765047433087603,0.2,0.0003,-0.2732126824324951,0.7731640934944153,0.070542658766135
329.11,270336,-8.446599960327148,727,33,371,0.0390380859375,0.0035778815,320,0.005340096540749073,-0.0011096782594904654,0.2,0.0003,-0.29767752293264493,0.7638270854949951,0.0684700023579353
332.65,278528,-8.492300033569336,749,34,371,0.03609619140625,0.0034126,330,0.04133336991071701,-0.0020960452795407035,0.2,0.0003,-0.24726862336974592,0.7739870548248291,0.06615512340649729
331.73,286720,-8.610288619995117,770,35,372,0.02701416015625,0.001975583,340,0.021140538156032562,-0.0005053237910033204,0.2,0.0003,-0.2102088562794961,0.6498374938964844,0.06277966814268439
330.88,294912,-8.654181480407715,792,36,372,0.02108154296875,0.0020054479,350,0.11193478107452393,-0.0003215762029412872,0.2,0.0003,-0.3014564269571565,0.6952401995658875,0.08044138873628981
339.25,303104,-8.888790130615234,814,37,372,0.04425048828125,0.004243359,360,0.1108517050743103,-0.0019198465925001074,0.2,0.0003,-0.3089262087480165,0.7393671274185181,0.0636947427130508
343.68,311296,-8.840800285339355,837,38,371,0.01722412109375,0.0011812169,370,0.010289432480931282,-0.00046278433619590943,0.2,0.0003,-0.18712062573758886,0.6913087368011475,0.059075941342962325
350.96,319488,-9.0557279586792,858,39,372,0.02335205078125,0.0025502113,380,0.010444819927215576,-0.001254223544128763,0.2,0.0003,-0.24242951449705288,0.7538269758224487,0.05301822290384735
353.24,327680,-9.031576156616211,880,40,372,0.020166015625,0.004817256,390,0.02353861555457115,-0.0005301699652591196,0.2,0.0003,-0.16828453660709783,0.7351963520050049,0.05956293954477587
360.23,335872,-9.450504302978516,903,41,371,0.0267578125,0.0026597655,400,0.05365635082125664,-0.0008468557492960826,0.2,0.0003,-0.26367334763053807,0.7709177136421204,0.06562816700352414
351.74,344064,-9.297345161437988,924,42,372,0.02027587890625,0.0020864983,410,0.006811076775193214,0.00044277386332396417,0.2,0.0003,-0.2444602288887836,0.7200602293014526,0.08450877512113948
340.75,352256,-9.180521011352539,947,43,371,0.0160400390625,0.0019979535,420,0.02360069751739502,-0.0008567986680645845,0.2,0.0003,-0.12632628633873538,0.7865281105041504,0.05577814958887757
333.01,360448,-8.729903221130371,968,44,372,0.02259521484375,0.0016565952,430,0.028054507449269295,-0.0005876546581930597,0.2,0.0003,-0.20673424480482935,0.7209666967391968,0.08887209036256535
329.55,368640,-8.44936752319336,991,45,371,0.01739501953125,0.0017301035,440,0.019934676587581635,-0.00032315084772562843,0.2,0.0003,-0.12299449279089458,0.7651815414428711,0.05573508840934664
324.82,376832,-8.28376293182373,1013,46,371,0.0320556640625,0.0020849241,450,0.019600270316004753,-0.0011140287928355975,0.2,0.0003,-0.1892651574627962,0.6728173494338989,0.05104447870253352
335.63,385024,-8.498538970947266,1034,47,372,0.02628173828125,0.004029154,460,0.05689626932144165,-0.0013913272339777904,0.2,0.0003,-0.19609427819959818,0.6124404668807983,0.07844849600151065
331.64,393216,-8.504961967468262,1056,48,372,0.02843017578125,0.0024319831,470,0.01203162968158722,-0.001176830460462952,0.2,0.0003,-0.23743849471211434,0.7772994637489319,0.05525687745139294
339.86,401408,-8.766736030578613,1077,49,372,0.01290283203125,0.00073713076,480,0.036207206547260284,-0.0005348919947209651,0.2,0.0003,-0.14398223218740897,0.6431074738502502,0.0719625211222592
